0.000,1,NaN,56.752
0.000,10,NaN,56.101
0.000,11,NaN,61.775
0.000,12,NaN,54.969
0.000,13,NaN,68.556
0.000,14,91.191,62.257
0.000,15,NaN,56.934
0.000,16,NaN,63.095
0.000,17,NaN,54.946
0.000,18,NaN,60.413
0.000,19,NaN,60.592
0.000,2,83.298,70.599
0.000,20,NaN,51.905
0.000,21,NaN,57.994
0.000,22,NaN,54.802
0.000,23,NaN,57.067
0.000,24,NaN,56.287
0.000,25,NaN,53.539
0.000,3,NaN,61.061
0.000,4,NaN,55.685
0.000,5,NaN,56.878
0.000,6,NaN,73.322
0.000,7,NaN,68.708
0.000,8,NaN,67.683
0.000,9,NaN,55.467
0.050,1,90.326,70.445
0.050,10,NaN,51.490
0.050,11,NaN,67.166
0.050,12,NaN,65.462
0.050,13,NaN,50.793
0.050,14,NaN,59.148
0.050,15,NaN,61.958
0.050,16,NaN,51.678
0.050,17,80.110,59.879
0.050,18,99.186,76.359
0.050,19,NaN,63.094
0.050,2,NaN,46.041
0.050,20,89.565,70.987
0.050,21,NaN,55.525
0.050,22,NaN,61.905
0.050,23,NaN,67.122
0.050,24,NaN,61.716
0.050,25,NaN,44.194
0.050,3,NaN,56.455
0.050,4,NaN,54.810
0.050,5,NaN,77.015
0.050,6,NaN,53.533
0.050,7,84.696,65.159
0.050,8,NaN,44.758
0.050,9,NaN,52.497
0.100,1,NaN,40.376
0.100,10,NaN,44.625
0.100,11,NaN,45.252
0.100,12,129.436,86.212
0.100,13,NaN,69.082
0.100,14,NaN,40.034
0.100,15,111.211,73.887
0.100,16,88.582,67.615
0.100,17,148.223,94.899
0.100,18,123.792,82.690
0.100,19,NaN,54.348
0.100,2,NaN,42.609
0.100,20,NaN,62.451
0.100,21,84.702,63.724
0.100,22,NaN,97.391
0.100,23,NaN,52.398
0.100,24,NaN,56.475
0.100,25,126.741,84.010
0.100,3,NaN,57.284
0.100,4,NaN,50.737
0.100,5,NaN,38.290
0.100,6,NaN,88.727
0.100,7,NaN,69.013
0.100,8,92.299,74.320
0.100,9,NaN,48.420
0.150,1,NaN,36.547
0.150,10,NaN,104.173
0.150,11,NaN,64.161
0.150,12,141.325,89.229
0.150,13,NaN,48.679
0.150,14,87.007,66.964
0.150,15,NaN,36.332
0.150,16,NaN,87.679
0.150,17,NaN,41.164
0.150,18,NaN,44.598
0.150,19,NaN,72.477
0.150,2,NaN,65.008
0.150,20,NaN,NaN
0.150,21,157.713,102.618
0.150,22,NaN,66.892
0.150,23,NaN,NaN
0.150,24,NaN,106.648
0.150,25,NaN,NaN
0.150,3,NaN,42.037
0.150,4,NaN,48.701
0.150,5,NaN,61.719
0.150,6,143.417,93.929
0.150,7,111.802,77.957
0.150,8,84.058,66.542
0.150,9,147.287,93.865
0.200,1,NaN,116.974
0.200,10,225.769,138.768
0.200,11,NaN,NaN
0.200,12,NaN,NaN
0.200,13,NaN,74.129
0.200,14,NaN,76.190
0.200,15,NaN,NaN
0.200,16,106.385,75.735
0.200,17,NaN,61.010
0.200,18,NaN,67.838
0.200,19,177.043,114.470
0.200,2,NaN,102.784
0.200,20,NaN,34.341
0.200,21,NaN,78.297
0.200,22,160.896,107.094
0.200,23,93.416,68.915
0.200,24,NaN,89.641
0.200,25,NaN,37.906
0.200,3,NaN,124.761
0.200,4,108.004,75.924
0.200,5,136.148,89.037
0.200,6,NaN,38.713
0.200,7,NaN,48.745
0.200,8,NaN,NaN
0.200,9,NaN,41.494
